903 2712
90 97 692
110 150 577
265 640 348
876 488 399
471 722 244
363 831 216
93 630 129
760 122 871
547 494 146
677 590 251
851 400 239
478 31 257
350 482 637
698 689 275
478 795 226
543 275 964
182 514 639
616 677 457
258 601 337
279 677 651
152 189 650
727 774 413
652 533 461
99 585 203
81 355 431
447 300 183
777 620 888
883 373 88
495 566 994
614 76 331
488 858 764
361 22 830
705 895 162
880 43 442
214 77 107
380 499 161
483 597 845
843 147 43
90 533 510
24 530 939
664 407 798
460 407 953
177 645 923
651 876 807
403 489 882
620 92 174
542 704 921
609 20 609
376 861 92
823 118 493
384 682 132
274 45 833
875 415 81
507 241 213
274 26 583
616 157 407
716 780 989
879 562 289
579 537 123
650 7 153
364 730 367
323 169 202
162 148 141
127 825 992
203 23 362
641 297 223
363 429 262
742 691 964
106 288 815
818 187 940
665 647 565
174 176 508
511 392 697
716 661 686
753 243 474
797 352 538
847 863 987
880 497 610
757 16 250
373 575 883
516 274 880
506 801 84
469 14 737
265 478 155
78 836 459
322 854 719
28 33 131
58 275 274
883 186 679
67 44 887
709 590 666
390 465 699
674 660 605
183 587 268
900 90 13
15 620 831
622 547 526
864 780 603
506 512 305
496 364 88
856 511 825
470 689 192
41 87 860
581 422 966
421 750 437
239 267 964
533 399 368
695 372 406
902 12 153
894 676 226
839 635 829
564 868 336
463 692 443
402 576 383
407 657 332
467 406 396
100 671 770
43 779 551
100 579 132
121 421 716
528 459 690
229 880 264
756 186 664
471 37 525
736 654 629
625 730 779
584 759 790
290 572 68
439 410 776
190 108 53
32 400 972
153 330 449
112 832 441
331 222 890
160 866 759
878 75 36
669 386 484
335 719 639
836 241 726
524 2 253
54 889 508
778 292 560
94 439 572
136 204 29
764 245 193
336 372 693
73 130 609
356 274 269
565 78 503
373 32 158
749 620 775
393 183 465
856 409 280
649 77 43
778 300 106
169 822 715
693 305 840
868 126 247
144 597 50
206 264 810
371 775 77
471 505 101
146 478 81
319 581 576
117 280 995
890 560 577
426 195 644
86 220 82
452 263 630
808 376 210
792 624 733
477 17 970
497 657 44
186 45 946
653 373 838
798 657 671
494 842 5
793 668 750
566 899 588
304 501 578
344 755 622
375 119 997
749 349 530
858 638 374
873 230 315
857 358 930
450 150 231
537 333 537
557 617 920
170 61 115
210 823 587
825 646 841
30 542 463
781 376 724
280 122 784
609 439 342
632 884 395
173 655 237
383 116 304
275 164 979
152 541 514
880 830 617
213 541 354
616 136 645
210 116 32
284 128 112
851 103 128
67 523 266
751 774 72
824 365 753
108 18 192
137 522 6
278 14 374
396 687 305
295 593 317
732 420 796
509 454 122
167 402 971
588 575 926
317 319 370
903 664 902
346 33 918
535 566 4
675 541 222
897 442 970
772 275 503
720 493 799
795 397 871
301 328 740
236 202 379
490 810 840
599 524 550
244 212 594
621 540 374
577 499 782
299 502 574
889 693 583
52 546 325
272 659 806
145 491 160
498 576 251
455 17 118
771 45 389
560 7 427
604 461 250
278 156 252
667 791 925
4 367 646
269 642 847
726 403 267
719 517 875
287 380 899
694 459 492
78 713 665
219 242 379
87 756 603
277 536 24
443 668 831
539 824 905
286 778 967
543 887 66
56 358 351
409 525 92
577 766 220
726 9 564
265 162 112
625 341 72
338 162 168
235 774 255
533 351 152
604 751 164
548 482 798
520 901 598
321 901 308
570 566 63
133 125 526
21 122 575
441 91 479
338 66 589
225 231 327
336 312 598
51 359 270
634 398 894
810 479 406
126 767 576
7 326 683
726 120 661
814 474 958
656 653 323
62 703 962
402 766 378
51 607 924
754 892 899
704 586 561
599 827 530
515 612 842
429 262 699
145 325 565
683 646 616
731 328 82
364 139 726
712 296 768
624 366 603
31 545 246
504 663 234
3 690 171
848 444 635
166 706 824
1 852 56
886 74 815
863 730 505
235 337 399
217 518 18
315 318 109
395 470 142
892 471 933
191 450 110
688 691 965
811 88 656
314 643 227
755 159 508
844 183 962
748 62 638
414 688 57
881 609 738
44 96 402
839 763 416
392 543 882
483 19 402
741 836 916
861 755 582
223 169 866
372 586 458
593 888 673
773 40 452
713 880 916
18 672 893
47 532 972
788 730 420
14 330 973
273 593 538
488 884 446
144 159 427
376 891 184
427 176 388
674 209 641
831 834 740
226 806 302
730 854 65
540 642 817
49 340 381
797 503 150
219 279 837
246 272 897
516 103 889
574 339 190
818 93 951
259 789 651
361 256 333
802 236 805
581 882 321
110 230 977
702 713 674
525 675 463
599 459 295
643 308 611
179 712 613
159 263 215
107 128 831
72 252 639
652 708 212
138 843 973
95 819 14
205 315 437
676 866 7
839 179 456
892 163 381
858 611 142
779 554 148
479 440 886
799 317 358
831 838 680
612 440 163
551 850 81
428 487 115
357 8 464
47 722 124
658 412 480
190 27 784
679 730 457
705 899 65
181 244 47
298 155 216
560 349 687
335 225 129
840 838 997
882 595 920
781 245 484
177 267 38
781 47 184
436 580 465
853 845 421
799 623 768
327 102 859
79 16 722
631 756 837
891 802 308
709 695 74
368 239 327
24 57 752
486 635 374
614 210 611
808 405 607
644 293 455
328 582 699
565 246 476
215 199 213
393 598 686
93 5 116
148 413 837
308 515 338
14 110 282
299 94 935
891 262 696
594 879 578
404 863 453
860 205 910
183 447 173
749 186 427
423 862 356
545 508 939
719 724 805
152 416 73
175 718 398
